"","favoriteCount","retweetCount"
"1",0,0
"2",0,0
"3",0,0.000648028142936493
"4",0,0.0130994260322163
"5",0,0
"6",0,4.62877244954638e-05
"7",0,0
"8",0,0.0180522125532309
"9",0,0.0130994260322163
"10",0,0
"11",0,0.0130994260322163
"12",0,0
"13",0,0.00453619700055545
"14",0,4.62877244954638e-05
"15",0,0
"16",0,0.0240696167376412
"17",0,0
"18",0,0.0130994260322163
"19",0,0.0180522125532309
"20",0,0.0130994260322163
"21",0,0
"22",0,0.0130994260322163
"23",0,0
"24",0,0.0130994260322163
"25",0,0.0180522125532309
"26",0,0
"27",0,0
"28",0,0.290872060729495
"29",0,0.0130994260322163
"30",0,0.0130994260322163
"31",0,0.0130994260322163
"32",0,0
"33",0,0.0130994260322163
"34",0,9.25754489909276e-05
"35",0,0.0130994260322163
"36",0,0.000138863173486391
"37",4.62877244954638e-05,0
"38",0,0.0130994260322163
"39",0,0
"40",0,0.000786891316422885
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0.0130994260322163
"46",0,0.0130994260322163
"47",0,0
"48",0,9.25754489909276e-05
"49",0,0.0130994260322163
"50",0,0.000138863173486391
"51",0,0.0130994260322163
"52",0,0.0130994260322163
"53",0,0
"54",0,0.0240696167376412
"55",4.62877244954638e-05,0
"56",0,0.0130994260322163
"57",0,0.0240696167376412
"58",0,0.0130994260322163
"59",0,4.62877244954638e-05
"60",0,0.0130994260322163
"61",0,0
"62",0,0
"63",0,0.000786891316422885
"64",0,0
"65",0,0.290872060729495
"66",0,0.0240696167376412
"67",0,0.00203665987780041
"68",0,0
"69",0,0
"70",0,0.0240696167376412
"71",0,0
"72",0,0.00203665987780041
"73",0,0.0130994260322163
"74",0,0
"75",0,0.0130994260322163
"76",0.000138863173486391,0
"77",0,0
"78",0,0
"79",0,0.0180522125532309
"80",0,0.0130994260322163
"81",0,0.000740603591927421
"82",0,0.00337900388816886
"83",0,0.0130994260322163
"84",0,0
"85",0,0.0240696167376412
"86",0,0
"87",0,0.0130994260322163
"88",4.62877244954638e-05,4.62877244954638e-05
"89",0,0.0130994260322163
"90",0,0.0180522125532309
"91",0,0
"92",0.00037030179596371,0
"93",0,0.0130994260322163
"94",0,0.0130994260322163
"95",0,0.0130994260322163
"96",0,0.0180522125532309
"97",0,0
"98",0,0.0180522125532309
"99",0,0
"100",0,0.0130994260322163
"101",0,4.62877244954638e-05
"102",0,4.62877244954638e-05
"103",0,0
"104",0,0.000138863173486391
"105",0,0
"106",0,0
"107",0,0.0130994260322163
"108",0.000185150897981855,0
"109",0,0
"110",0,0.290872060729495
"111",0,0
"112",0,0.0180522125532309
"113",0.000138863173486391,0
"114",0,0.0130994260322163
"115",0,0.0130994260322163
"116",0,0.0130994260322163
"117",0,0.0180522125532309
"118",0.000138863173486391,0
"119",0,1
"120",0,0.0180522125532309
"121",0,4.62877244954638e-05
"122",0,0.00203665987780041
"123",0,0
"124",0,0
