"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"my problem is i get bored and start online shopping",FALSE,1,NA,2021-09-26 01:45:45,FALSE,NA,"1441942032893706241",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","nanceee_n",0,FALSE,FALSE,NA,NA
"#NOWPLAYING :  Twist And Turn ft Drake &amp; PartyNextDoor by @PopcaanMusic Listen online at https://t.co/T7Sx1Ck34v ..… https://t.co/wbUJBNRAw5",FALSE,0,NA,2021-09-26 01:45:33,TRUE,NA,"1441941983711408128",NA,"<a href=\"https://www.autopo.st\" rel=\"nofollow\">autopo.st - platinumvibes8</a>","platinumvibes8",0,FALSE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:45:16,FALSE,NA,"1441941914043912197",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","0ll2929l0",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:45:09,FALSE,NA,"1441941882746114049",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","dricabr14",315,TRUE,FALSE,NA,NA
"@PeterMooney09 @mattswider I work for Target and have spoken with a Sony rep. The online requirement was a Sony rec… https://t.co/VbPwiwiwn8",FALSE,1,"PeterMooney09",2021-09-26 01:45:06,TRUE,"1441936297103331331","1441941869315825670","2278097323","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","freemac85",0,FALSE,FALSE,NA,NA
"RT @hecraveskay: I wanna go online shopping with someone else’s card",FALSE,0,NA,2021-09-26 01:44:50,FALSE,NA,"1441941803184259075",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","OgechukwuMgbem1",20623,TRUE,FALSE,NA,NA
"RT @hecraveskay: I wanna go online shopping with someone else’s card",FALSE,0,NA,2021-09-26 01:44:47,FALSE,NA,"1441941789082939401",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","celinadevera",20623,TRUE,FALSE,NA,NA
"RT @hecraveskay: I wanna go online shopping with someone else’s card",FALSE,0,NA,2021-09-26 01:44:39,FALSE,NA,"1441941755222450176",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","vonnaaaaa_",20623,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:44:38,FALSE,NA,"1441941751757819904",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","queenofozqueen",315,TRUE,FALSE,NA,NA
"RT @hecraveskay: I wanna go online shopping with someone else’s card",FALSE,0,NA,2021-09-26 01:43:53,FALSE,NA,"1441941565102968836",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","alvachulaa",20623,TRUE,FALSE,NA,NA
